type,activity,sex_,injury,fatal_(y/n),species_
Invalid,Floating,F,"2' cut to dorsum of foot, 2 puncture wounds to sole",,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed"
Unprovoked,Scallop diving on hookah,M,FATAL,Y,"White shark, 3.9 to 4.2 m"
Provoked,Kayak Fishing,M,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,"Mako shark, 100-lb"
Unprovoked,Surfing,M,Left hand bitten,N,"Bronze whaler shark, 1.5m"
Unprovoked,Surfing,M,Arm bitten,N,"Bull shark, 2m"
Unprovoked,Surfing,M,No injury,N,White shark
Unprovoked,Surfing,M,"No injury, shark bumped & damaged board",N,"White shark, 7'"
Invalid,Treading water,M,Laceration to back,,Shark involvement not cofirmed
Invalid,Swimming,M,Parallel lacerations to torso inconsistent with shark bite,,No shark involvement
Unprovoked,Spearfishing,F,Lacerations to lower leg & ankle,N,6' shark
Unprovoked,,M,Lacerations to right hand & forearm,N,
Unprovoked,Surfing,M,"No injury, shark bit surfboard",N,White shark
Unprovoked,Body boarding ,M,Significant injuries to lower legs,N,White shark
Unprovoked,Swimming,M,"Injuries to torso, hip, lower leg & hands",N,6' to 7' shark
Unprovoked,Surfing,M,Hand bitten,N,
Unprovoked,Playing in the water,M,Shallow lacerations & puncture to lateral left leg,N,4' to 5' shark
Unprovoked,Swimming,M,"Injuries to right calf, buttock and both hands",N,Bull shark
Unprovoked,Body Boarding,M,"Right leg severed, multiple lacerations to left leg",N,White shark
Invalid,Swimming,F,Minor lacerations to leg,,Shark involvement not confirmed
Unprovoked,Surfing,M,Multiple lacerations to torso & leg,N,"White shark, 2m to 3 m"
Unprovoked,Standing,M,Puncture wounds to foot,N,4' shark
Provoked,Swimming,M,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N,Wobbegong shark
Unprovoked,Body surfing?,M,Multiple lacerations to back,N,
Unprovoked,Swimming,M,Minor injury to foot,N,Sandtiger shark
Invalid,Surfing,F,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N,White shark
Unprovoked,Standing,M,Minor injury to calf ,N,small shark
Unprovoked,Spearfishing,M,Injury to hand,N,
Unprovoked,Swimming,M,Minor injury to calf ,N,
Unprovoked,Wading,M,Arm amputated below shoulder,N,Bull shark
Unprovoked,Wading,F,Left arm amputated at elbow & severe injury to leg,N,Bull shark
Unprovoked,,F,Severe laceration to leg,N,Mako shark
Unprovoked,Boogie boarding,F,Minor lacerations to foot,N,4' shark
Unprovoked,Playing,M,Lacerations to right calf,N,"Bull shark, 5'"
Unprovoked,Attempting to rescue a shark,F,Puncture wound to finger,N,small nurse shark
Unprovoked,Surfing,M,Left forearm bitten,N,"Bull shark, 2.5 m"
Unprovoked,Standing,F,Left foot bitten,N,
Unprovoked,Wading,F,Minor lacerations to dorsum of right foot,N,
Unprovoked,Spearfishing,M,Lacerations to right forearm,N,1m to 1.2 m shark
Unprovoked,Swimming,F,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N,
Unprovoked,Surfing,M,2 puncture wounds to  dorsum of left foot,N,5' shark
Unprovoked,,M,Laceration to foot ,N,6' shark
Unprovoked,Snorkeling,M,FATAL,Y,"Bull shark, 3.5 m"
Unprovoked,Swimming,M,"Lacerations to lower left leg, ankle & foot",N,
Unprovoked,Surfing,M,Injuries to left arm & right hand,N,White shark
Unprovoked,Diving,M,"Injuries to leg, left arm & both hands",N,"White shark, 3.5 m"
Unprovoked,Snorkeling,F,FATAL,Y,
Unprovoked,Wading,M,Lacerations to left calf,N,3- to 4-foot shark
Unprovoked,Surfing,M,Leg severed at mid-thigh,N,"White shark, 6 m"
Unprovoked,Surf skiing ,M,"No injury, knocked off ski",N,"White shark, 3 m"
Unprovoked,Photographing the shark,M,Lacerations to shoulder and left bicep,N,"Blue shark, 8 to 9 feet"
Unprovoked,Surfing,M,FATAL,Y,Bull shark
Unprovoked,Paddle boarding,M,Ankle injured,N,
Unprovoked,Spearfishing,M,Injuries to head & torso,N,Bull shark
Invalid,Diving,M,"FATAL, but shark involvement prior to death unconfirmed",,Shark involvement not cofirmed
Invalid,Surfing,M,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,,No shark involvement
Boating,Kayak Fishing,M,No injury but kayak bitten,N,"White shark, 4 m"
Unprovoked,Swimming,M,FATAL,Y,Mako shark
Unprovoked,Standing / Snorkeling,M,Lacerations to left forearm. Lacerations to left hand and thigh,N,"Tiger shark, 8 to 12 feet"
Unprovoked,Hand feeding sharks,M,Hand bitten,N,Blacktip shark
Boating,Fishing,M,Bruised in falling overboard as shark bumped boat,N,
Provoked,Fishing,M,Right hand bitten by hooked shark PROVOKED INCIDENT,N,
Unprovoked,Sitting in the water,M,Thigh bitten,N,Blacktip Reef shark 
Boating,Transatlantic Rowing,,"No injury, shark bit rudder",N,White shark
Unprovoked,Swimming,F,FATAL,Y,"Tiger shark, 3.5 m"
Unprovoked,Surfing,M,FATAL,Y,3.5 to 4 m shark
Unprovoked,Surfing,M,Laceration & puncture wounds to right flank & hip,N,2 m to  3 m shark
Unprovoked,Bodysurfing,M,5 minor puncture wounds to lower left leg,N,1.8 m shark
Boating,Rowing,M,"No injury, shark's teeth scratched hull",N,"Bull shark, 1.3 m"
Provoked,Shark fishing,M,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,4' shark
Unprovoked,Surfing,M,"No injury, surfboard dented",N,
Unprovoked,Floating,M,Foot bitten,N,
Boating,Fishing,M,No injury but shark bit trolling motor & rammed boat,N,White shark
Invalid,Surfing & filming dolphins,F,Board snapped in two,,Shark involvement not confirmed
Boating,Fishing,M,"Shark bumped boat, no injury to occupants",N,5 m shark
Unprovoked,Filming,M,Bitten on hand & wrist,N,1.5 m shark
Invalid,Swimming after falling overboard,M,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",,No shark involvement
Unprovoked,Snorkeling,F,Severe bite to right flank,N,White shark or oceanic whitetip shark
Unprovoked,Surfing,M,"Lacerations to lower left leg, puncture wounds to sole of left foot",N,"Raggedtooth shark, 1.3 m"
Unprovoked,,M,Leg bitten,N,"""A small shark"""
Unprovoked,Surfing,,Lacerations to both feet,N,2 m shark
Unprovoked,Spearfishing,M,FATAL,Y,"White shark, 4 to 5 m"
Sea Disaster,,,"Of 9 bodies recovered, one was bitten by a shark",N,Shark involvement prior to death still to be determined
Invalid,Swimming,,Minor cuts on feet,,Shark involvement not confirmed & highly unlikely
Unprovoked,Surfing,M,Injury to hip/leg,N,"White shark, 8' to 10'"
Provoked,Fishing,M,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N,1.5 m shark
Unprovoked,Diving / Filming,M,"No injury, shark snagged its teeth in diver's suit",N,Goblin shark
Unprovoked,Spearfishing,M,FATAL,Y,Tiger shark
Provoked,Fishing for blue sharks,M,Glancing bite to wrist from netted shark PROVOKED INCIDENT,N,
Unprovoked,Surfing,M,Minor injuries to right leg,N,
Provoked,Fishing,M,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",Y,
Boating,Fishing,M,"Shark chasing fish bumped boat, no injury to occupants",N,White shark
Boating,,,"Shark bumped boat, no injury to occupants",N,White shark
Unprovoked,Surfing,M,Laceration to left hand,N,2' shark
Unprovoked,Snorkeling,M,Laceration to left upper leg,N,1.5 m shark
Unprovoked,Surfing,M,Minor injury to lower leg and foot,N,
Unprovoked,Surfing,M,Minor injuries to hand & arm ,N,
Unprovoked,Surfing,F,Lacerations to fingers,N,"Tiger shark, 12'"
Provoked,Surfing,M,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,N,
Unprovoked,Stand-Up Paddleboarding,F,"No injury, paddleboard bitten",N,Tiger shark
Unprovoked,Stand-Up Paddleboarding,M,"No injury, paddleboard bitten",N,
Boating,Canoeing,F,"No injury to occupant, canoe bitten",N,
Unprovoked,Surfing,M,"No injury, surfboard bitten",N,12' to 14' shark
Unprovoked,Surfing,F,"Lacerations to left calf & ankle, puncture wounds to left foot",N,1 m shark
Unprovoked,Standing in inner tube,F,Lacerations to left foot,N,"Bull shark, 3' to 4'"
Unprovoked,Body surfing or Boogie boarding,F,Laceration to right hand/wrist,N,
Boating,Kayaking,M,"Kayak deflated, no injury to occupants",N,
Unprovoked,Surfing,M,Foot bitten,N,Blacktip shark
Unprovoked,Fishing,F,Thigh bitten,N,
Unprovoked,Surfing,M,Foot bitten,N,Blacktip shark
Boating,Kayaking,M,"No injury to occupant, shark/s holded  kayak",N,"White shark, 18' to 20'"
Boating,Kayaking ,M,"No injury to occupant, shark/s holded  kayak",N,White shark
Unprovoked,Surfing,M,Lacerations to knee,N,8' to 10' shark
Unprovoked,Surfing,M,"Left arm & right hand severed, lacerations to both legs",N,"2 white shark: 13' & 9""8"""
Unprovoked,Surfing,M,Minor injury to left foot,N,
Unprovoked,Feeding fish,F,Thumb & finger nipped,N,Blacktip shark
Invalid,Surfing,M,"A hoax, no shark involvement",,No shark involvement
Unprovoked,Swimming,M,FATAL,Y,7' shark
Unprovoked,Fishing ,M,Leg bitten,N,Bull shark
Boating,Kayaking ,F,"No injury, shark bit kayak",N,"White shark, 12' to 14'"
Provoked,Fishing,M,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N,3' to 4' shark
Unprovoked,Playing with an air mattress,M,Lacerations to right hand,N,
Unprovoked,Body surfing,F,Injury to left calf,N,Spinner shark
Unprovoked,Surfing,M,Lacerations to shin,N,Spinner shark or blacktip shark
Invalid,,,Shark involvement not confirmed,,Shark involvement not confirmed
Provoked,Fishing,M,Lacerations to foot by hooked shark PROVOKED INCIDENT,N,
Unprovoked,Swimming,F,Minor lacerations to posterior lower leg,N,small shark
Unprovoked,Surfing,M,Laceration to left hand,N,4' to 6' shark
Unprovoked,Standing,F,Heel bitten,N,
Provoked,Fishing for sharks,M,Lacerations to forearm from hooked shark PROVOKED INCIDENT,N,"Bull shark, 4.5' "
Unprovoked,Kite boarding,,Laceration to left foot,N,4' shark
Unprovoked,Spearfishing,M,Lacerations to face and neck,N,reef shark
Unprovoked,Standing,M,Puncture wounds and lacerations to left thigh and knee,N," Bull shark, 8'"
Unprovoked,,M,Puncture wounds & lacerations to foot,N,
Unprovoked,Spearfishing,M,Puncture wounds to right foot and ankle,N,"Bull shark, 9' to 10'"
Unprovoked,Swimming,F,Puncture wounds to right foot & ankle,N,
Unprovoked,Swimming,M,Minor lacerations to left heel and big toe,N," Bull shark, 5'"
Unprovoked,Boogie boarding,M,Lacerations to right leg & foot,N,4' tp 5' shark
Unprovoked,Swimming,F,Lacerations to  foot,N,
Unprovoked,Surfing,M,Foot bitten,N,
Unprovoked,Boogie boarding,M,Laceration to ankle,N,
Unprovoked,Surfing,M,Lower limbs & thigh bitten,N,White shark
Invalid,Sea disaster,M,Shark involvement prior to death not confirmed,,Shark involvement not confirmed
Unprovoked,Swimming,M,Left foot bitten,N,Possibly juvenile tiger shark
Unprovoked,Surfing,M,Lacerations to right wrist & calf,N,1.8 metre shark
Unprovoked,Standing,M,Lacerations to right knee,N,
Unprovoked,Wading,,Minor injury,N,Angel shark
Unprovoked,Swimming,M,Lacerations to left foot,N,6' to 8' shark
Unprovoked,Swimming,M,Puncture wounds to foot,N,4' shark
Invalid,Shark diving,M,"Missing after a dive, shark involvement considered probable, but not confirmed",,Shark involvement not confirmed
Unprovoked,Body surfing,M,Lacerations to hand and wrist,N,
Unprovoked,Surfing,M,Lacerations to foot,N,
Provoked,Swimming,M,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,N," White shark, 7' "
Unprovoked,Surfing,M,"No injury, surboard bitten",N,
Unprovoked,Body surfing,M,Right hand bitten,N,4' to 5' shark
Boat,Transatlantic Rowing,M,His boat was holed by a shark,N,Oceanic whitetip shark'
Unprovoked,Spearfishing,M,No injury but shark took his pole spear,N,"Caribbean reef shark, 7' to 8'"
Unprovoked,Surfing,M,"No injury, surfboard 'attacked'",N,
Unprovoked,Body boarding,M,Lacerations to knee,N,
Provoked,Petting a shark,M,Lacerations to right hand by captive shark PROVOKED INCIDENT,N," Lemon shark, 3.5 m"
Unprovoked,Fishing,M,Severe injury to arm,N,
Unprovoked,Standing,M,"Abrasion to right hand, lacerations to left forearm",N," Sandbar shark, 3' to 4'"
Unprovoked,Body boarding,M,Minor injury to torso,N,"Bronze whaler shark, 1.5m"
Unprovoked,Surfing,M,Left arm bitten,N,
Unprovoked,Kneeling in the water,F,Shallow lacerations & puncture wounds below shoulder,N,
Unprovoked,Swimming,F,Laceration to right lower leg,N,Bull shark
Unprovoked,Surfing,M,Lacerations & puncture wounds to ankle and foot,N,
Unprovoked,Tagging sharks,F,Laceration to left hand,N,Blacktip Reef shark 
Unprovoked,Fell into the water,F,Lacerations to legs,N," Bull shark, 1.2m "
Unprovoked,Scuba diving,M,Lacerations to left thigh and hip,N,3m shark
Provoked,Teasing a shark,M,Cut to tip of finger by a captive shark PROVOKED INCIDENT,N," Tawney nurse shark, 1m"
Unprovoked,Body boarding,F,Calf bitten,N,
Unprovoked,Surfing,M,"No injury, but surfboard severely damaged",N," white shark, 15' "
Unprovoked,Wading,F,Lacerations and puncture wounds to right foot,N,
Unprovoked,Surfing,M,Puncture wounds to right thigh,N,Shark involvement not confirmed
Invalid,Diving,M,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear",,No shark involvement
Unprovoked,Swimming,F,Lacerations to left foot,N,4' to 5' shark
Unprovoked,Diving,,4-inch laceration to arm,N,Cow shark
Unprovoked,Surfing,M,Laceration to right hand and cuts on fingertips,N,3' shark
Unprovoked,Spearfishing,M,Minor injury,N,reef shark?
Unprovoked,Swimming,M ,Laceration & puncture wounds to right foot,N,
Unprovoked,Wading,M,Minor lacerations to left foot,N,
Boat,Shark watching,,"No injury to occupants, shark bit pontoon",N,White shark
Provoked,Fishing,M,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,N," Raggedtooth shark, 2m"
Unprovoked,Surfing,M,Minor puncture wounds to lower left leg,N,
Unprovoked,Surfing,M,Lacerations to foot,N,
Unprovoked,Swimming,F,FATAL,Y,3 m to 4 m white shark
Invalid,Diving for lobsters,M,Shark bites may have been post mortem,,Shark involvement prior to death not confirmed
Unprovoked,Swimming,M,FATAL,Y,2 m shark
Unprovoked,Kite Surfing,M,Lacerations to left forearm,N,4' to 5' shark
Unprovoked,Surfing,M,Lacerations to toes and heel of right foot,N,
Unprovoked,Kite Surfing,M,Lacerations to calf,N,
Unprovoked,Surfing,M,Shark leapt onto surfboard; surfer uninjured ,N,
Invalid,,F,"Injuries to wrist/hand by a mackerel, not a shark",,No shark involvement
Unprovoked,Swimming,M,Minor lacerations to foot,N,Wobbegong shark
Invalid,Scuba diving / culling lionfish,M,"Caribbean reef shark buzzed him. No injury, no attack. ",,Invalid
Unprovoked,Surfing,M,Lacerations to toes,N,Blacktip or spinner shark?
Unprovoked,Kitesurfing,M,Lacerations to lower leg,N,Blacktip reef shark 
Boating,Sailing,M,"No injury to occupants, hull bitten",N,
Unprovoked,Spearfishing / Free diving,M,FATAL,Y,
Provoked,Fishing,M,Possibly a PROVOKED INCIDENT,N,
Unprovoked,Surfing,M,Lacerations to leg,N,7-gill shark?
Provoked,Fishing,M,Lacerations to ring and pinky fingers of his left hand by hooked shark PROVOKED INCIDENT,N,1m shark
Unprovoked,Spearfishing,M,Minor injury to left lower leg & heel,N,7-gill shark
Sea Disaster,Sea disaster,M,5 cm bite to left foot,N,
Unprovoked,Free diving / Photographing pilot whales,M,"""Minor laceration to shoulder""",N,Oceanic whitetip shark
Boating,Filming a documentary,,"No injury to occupants, shark nudged and bit boat",N,"White shark, 6 m"
Unprovoked,Snorkeling,M,Leg bitten,N,Reported to involve a bull shark
Unprovoked,Surfing,M,Injuries to left thigh,N,"White shark, 3m "
Unprovoked,Attempting to remove fishing net from submerged object,M,Severe injury to arm,N,
Unprovoked,Boogie boarding,M,Lacerations to right hand & knee,N,"Tiger shark, 10' to 12'"
Unprovoked,Surfing,M,Right foot bitten,N,4' to 6' shark
Unprovoked,Surfing,M,"Puncture wounds to hand, laceration to leg",N," Wobbegong shark, 1.6 to 1.8m "
Unprovoked,Kayaking / Fishing,M,FATAL,Y,
Unprovoked,Body boarding,M,FATAL,Y,"Tiger shark, 3m "
Unprovoked,Snorkeling,F,Right calf bitten,N,
Unprovoked,Surfing,M,FATAL,Y,Thought to involve a white shark
Unprovoked,Surfing,M,"No injury, board bitten",N,"White shark, 10 '"
Unprovoked,Surfing,M,"No injury, board bumped by shark",N,Reported to involve a white shark
Provoked,Shark fishing,M,Injuries to arm & leg by hooked shark   PROVOKED INCIDENT,N,
Unprovoked,Body boarding,M,"No injury, swim fin bitten",N,
Unprovoked,Surfing,M,Foot bitten,N,
Unprovoked,Kiteboarding,M,Severe bite to right calf & anklel,N,Tiger shark
Unprovoked,Snorkeling,F,Lacerations to right arm,N,"Blacktip reef shark, 1m"
Unprovoked,Body boarding,M,Right leg severed,N,Thought to involve a bull shark
Unprovoked,Diving for crayfish,M,"No injury, swim fin shredded",N,Reported to involve a 4 m white shark
Unprovoked,Surfing,M,Injuries to right foot,N,Wobbegong shark
Unprovoked,Diving ,M,"3"" laceration to left hip",N,"Whitetip reef shark, 4' to 6'"
Unprovoked,Surfing,M,"No injury, shark bit surfboard",N,Tiger shark
Unprovoked,Wading,M,Bitten on left calf & foot,N,Nurse shark?
Unprovoked,Swimming / snorkeling,M,FATAL,Y,White shark
Unprovoked,Diving for Abalone,M,"Injuries to torso, head and face",N,White shark
Unprovoked,Surfing,M,Laceration to thigh,N,"White shark, 8' to 10'"
Unprovoked,Wading,M,Lacerations to  right forearm,N,Small bull shark
Unprovoked,Surfing,M,Lacerations to hand,N,
Unprovoked,Diving,M,Hand bitten ,N,
Unprovoked,Standing,M,Laceration and puncture wounds to ankle,N,
Unprovoked,Swimming,M,Lacerations to right foot,N,
Unprovoked,Surfing,M,Lacerations to left foream,N,
Unprovoked,Swimming,M,Lacerations to right foot,N,Bull shark
Unprovoked,Surfing,F,Heel bitten,N,3' shark
Unprovoked,,F,No details,UNKNOWN,
Provoked,Surfing,M,Foot bitten when he accidentally jumped onto the shark PROVOKED INCIDENT,N,3' shark
Unprovoked,Standing,M,"Minor injury, shin bitten",N,3' shark
Unprovoked,Swimming,M,Shoulder bitten,N,
Provoked,,M,Arm bitten by captive shark PROVOKED INCIDENT,N,Nurse shark
Unprovoked,,M,Leg injured,N,
Unprovoked,Casting a net,M,Lacerations to left calf,N,4' shark
Unprovoked,Spearfishing,M,Lower left leg bitten,N,Blacktip shark
Unprovoked,Swimming,M,Foot bitten,N,Salmon shark
Invalid,Marathon swimming,F,"Puncture wound to torso. Reported as a bite by a leopard shark, the tooth fragment appears to be that of a bony fish",,No shark involvement
Provoked,Longline fishing for sharks,M,Laceration to right arm from hooked shark  PROVOKED INCIDENT,N,"Mako shark, 5'"
Unprovoked,Boogie boarding,F,Minor injury to left lower leg & heel,N,
Unprovoked,Wrangling a shark,M,Lacerations to left forearm,N,
Unprovoked,Surfing,M,Lacerations to buttocks & thigh,N,
Unprovoked,Surfing,F,"No injury, shark bumped surfboard",N,White shark
Unprovoked,Snorkeling,F,FATAL,Y,Tiger shark?
Unprovoked,Kiteboarding,F,No injury & not on board. Board adrift when bitten by shark,N,
Unprovoked,Surfing,M,"No injury, shark became entangled in his surfboard leash",N,"Bull shark, 8'"
Unprovoked,Attempting to free the shark,M,"Unknown, but survived",N,Blacktip shark
Unprovoked,Fishing,M,Minor injury to foot & shin,N,"Bull shark, 6' to 8'"
Unprovoked,Snorkeling,F,"Lacerations to hand, face and torso",N,
