type,activity,sex_,injury,fatal_(y/n),species_,shark_specie,activity_group,severity_group,body_group
Unprovoked,Surfing,M,Minor injury to right calf,N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,F,Left foot bitten,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Body boarding,M,FATAL,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Body boarding,F,Puncture wounds & laceration above knee,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Invalid,Photo shoot,F,Alleged laceration to left ankle,,No shark invovlement - it ws a publicity stunt,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Snorkeling,F,Calf & foot bitten,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Invalid,Swimming,M,Laceration & puncture wounds to left foot,,Shark involvement not confirmed,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,empty,,Minor bite to the foot,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,F,FATAL,Y,White shark,White Shark,Board sports,Undetermined,Undetermined
Unprovoked,Surfing,M,Lower right leg severely injured,N,"Tiger shark, 12'",Tiger Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Lacerations to right foot,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,F,Lacerations to right foot,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Invalid,Scuba Diving,M,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",,Shark involvement prior to death not confirmed,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Surfing,F,Calf bitten,N,empty,Unidentify,Board sports,Amputations or Lacerations,Undetermined
Unprovoked,Paddle boarding,F,Laceration to calf,N,empty,Unidentify,Board sports,Amputations or Lacerations,Undetermined
Unprovoked,Swimming,F,Minor injury to left hand,N,empty,Unidentify,Swimming,Minor or No injuries,Upper extremities
Unprovoked,Swimming,M,Foot injured,N,empty,Unidentify,Swimming,Undetermined,Lower extremities
Unprovoked,Swimming,F,"Thigh nipped, minor injury",N,empty,Unidentify,Swimming,Minor or No injuries,Lower extremities
Unprovoked,Kakaying,M,"No injury, shark bit off stern of kayak",N,empty,Unidentify,Other,Minor or No injuries,Undetermined
Unprovoked,Swimming,F,Lacerations to thighs,N,"Bull shark, 5' to 7'",Bull Shark,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Minor injury to left foot,N,empty,Unidentify,Board sports,Minor or No injuries,Lower extremities
Unprovoked,Body boarding,M,Minor,N,empty,Unidentify,Board sports,Undetermined,Undetermined
Boating,Kayaking,M,"No injury, kayak bitten",N,White shark,White Shark,Kayaking,Minor or No injuries,Undetermined
Unprovoked,Spearfishing,M,Right thigh injured ,N,10' shark,Unidentify,Diving,Undetermined,Lower extremities
Unprovoked,Washing hands,M,Abrasions & lacerations to left leg and hand,N,Lemon shark,Lemon Shark,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Snorkeling,F,Hand bitten,N,"Bull shark, 1.5",Bull Shark,Other,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,"No injury, shark struck board",N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Body boarding,M,Fatal,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Spearfishing,M,Left leg severely bitten,N,empty,Unidentify,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,Injury to hand,N,empty,Unidentify,Swimming,Undetermined,Upper extremities
Provoked,Grabbing shark for a selfie,F,"Minor injury to finger, PROVOKED INCIDENT",N,Lemon shark pup,Lemon Shark,Other,Minor or No injuries,Upper extremities
Boating,Kayak fishing,M,"Shark damaged kayak, no injury to occupant",N,Tiger shark,Tiger Shark,Fishing,Minor or No injuries,Undetermined
Boating,Tagging sharks,,"Shark bit boat, no injury to occupants",N,"White shark, female, 14'",White Shark,Other,Minor or No injuries,Undetermined
Unprovoked,Scuba Diving,M,Lacerations to upper right arm,N,Caribbean reef shark,Caribean Shark,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,Minor laceration to ring finger,N,empty,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,empty,M,Puncture wounds to lower arm or hand,N,empty,Unidentify,Other,Undetermined,Upper extremities
Unprovoked,Scuba Diving,M,"Multiple injuries to arm, wrist and torso",N,"Bull shark, 4 m",Bull Shark,Diving,Undetermined,Upper extremities
Unprovoked,Swimming,M,Injury to hand,N,empty,Unidentify,Swimming,Undetermined,Upper extremities
Unprovoked,empty,M,Minor injury to hand,N,empty,Unidentify,Other,Minor or No injuries,Upper extremities
Unprovoked,Surfing,M,Injury to right wrist & forearm,N,"Bull shark, 1 m",Bull Shark,Board sports,Undetermined,Upper extremities
Invalid,Spearfishing,M,"No attack, shark made a threat display",,Bull shark,Bull Shark,Diving,Undetermined,Undetermined
Unprovoked,Wading,M,Minor injuries to foot,N,empty,Unidentify,Wading,Minor or No injuries,Lower extremities
Invalid,Wading,M,Minor injuries to foot & toes,,Shark involvement not confirmed,Unidentify,Wading,Minor or No injuries,Lower extremities
Unprovoked,Surfing,M,Lacerations to right forearm,N,empty,Unidentify,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Snorkeling,F,Buttock bitten,N,a small shark,Unidentify,Other,Amputations or Lacerations,Undetermined
Unprovoked,Surf skiing ,M,"No injury, but ski severely damaged",N,"White shark, 4 m",White Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Free diving,M,Punctures to left foot/ankle,N,empty,Unidentify,Diving,Undetermined,Lower extremities
Unprovoked,Fishing,M,Hand injured?,N,empty,Unidentify,Fishing,Undetermined,Upper extremities
Invalid,Surfing,M,Cuts to right ankle & foot,,Shark involvement not confirmed,Unidentify,Board sports,Undetermined,Lower extremities
Provoked,Surf fishing,M,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,"Wobbegong shark, 2m",Wobbegong Shark,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Injuries to foot & arm,N,White shark,White Shark,Board sports,Undetermined,Lower extremities
Provoked,Fishing,M,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,"Broadnose sevengill shark, 1.5 m",Sevengill Shark,Fishing,Amputations or Lacerations,Upper extremities
Unprovoked,Floating,F,Injuries to right calf and thigh,N,Tiger shark,Tiger Shark,Other,Undetermined,Lower extremities
Unprovoked,Surfing,M,Lacerations to right foot and ankle,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Lacerations to right hand,N,empty,Unidentify,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Lacerations to left thigh,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Left arm and leg injured,N, 6' to 8' shark,Unidentify,Board sports,Undetermined,Lower extremities
Unprovoked,Surfing,M,Torso nipped,N,empty,Unidentify,Board sports,Undetermined,Torso
Unprovoked,Snorkeling,F,Injuries to left calf,N,empty,Unidentify,Other,Undetermined,Undetermined
Invalid,Cage Diving,M,"Shark breached cage, no injury to diver",,White shark,White Shark,Diving,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Minor wound to lower right leg & surfboard bitten,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Wounds to upper thigh and lower leg,N,empty,Unidentify,Board sports,Undetermined,Lower extremities
Unprovoked,Surfing,M,Cuts to dorsal surface of left foot,N,empty,Unidentify,Board sports,Undetermined,Lower extremities
Unprovoked,Surfng,M,Minor injuries,N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,4 deep lacerations to thigh,N,"White shark, 3.5 m",White Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Minor injury to thigh,N,empty,Unidentify,Board sports,Minor or No injuries,Lower extremities
Unprovoked,Surfing,M,Lacerations to hands,N,empty,Unidentify,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Lacerations to lower leg,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,"No injury, board bitten",N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Struck by fin on chest & leg,N,empty,Unidentify,Board sports,Undetermined,Lower extremities
Unprovoked,Surfing,M,No injury: Knocked off board by shark,N,2 m shark,Unidentify,Board sports,Minor or No injuries,Undetermined
