type,activity,sex_,injury,fatal_(y/n),species_,shark_specie,activity_group,severity_group,body_group
Boating,Fishing,,Shark rammed boat. No injury to occupant,N,empty,Unidentify,Fishing,Minor or No injuries,Undetermined
Unprovoked,Wading,M,Minor injury to arm,N,3' to 4' shark,Unidentify,Wading,Minor or No injuries,Upper extremities
Unprovoked,Swimming,F,Severe lacerations to shoulder & forearm,N,"Tiger shark, 10'",Tiger Shark,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,Kite surfing,M,FATAL,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Boogie boarding,F,Lacerations & punctures to lower right leg,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,"No inury, board broken in half by shark",N,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Body boarding,M,Foot bitten,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Spearfishing,M,Two toes broken & lacerated,N,"White shark, 8' to 10'",White Shark,Diving,Amputations or Lacerations,Undetermined
Invalid,Cage Diving,,"No injury to divers, white shark breached cage",,Invalid,Unidentify,Diving,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Lacerations to right foot,N,"Bull shark, 6'",Bull Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Minor injury to ankle,N,empty,Unidentify,Board sports,Minor or No injuries,Lower extremities
Unprovoked,Surfing,M,"Right arm severed, ankle severely bitten ",N,"Bull shark, 3.5 m",Bull Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Wading,M,Minor injury to ankle,N,empty,Unidentify,Wading,Minor or No injuries,Lower extremities
Unprovoked,Snorkeling,M,Lacerations to left leg,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,SUP Foil boarding,M,"No inury, shark & board collided",N,"Tiger shark, 10' ",Tiger Shark,Board sports,Undetermined,Undetermined
Unprovoked,Surfing,M,Big toe bitten,N,Blacktip shark,Blacktip Shark,Board sports,Amputations or Lacerations,Undetermined
Unprovoked,Swimming,M,Lacerations to right hand,N,Blue shark,Blue Shark,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,Lacerations to leg,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Boating,Kayaking,M,"No injury, shark nudged kayak repeatedly",N,White shark,White Shark,Kayaking,Minor or No injuries,Undetermined
Provoked,Lobstering,M,Laceration to left forearm PROVOKED INCIDENT,N,"Nurse shark, 4'",Nurse Shark,Other,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,"No injury. Leg rope severed, knocked off board by shark",N,empty,Unidentify,Board sports,Minor or No injuries,Lower extremities
Unprovoked,Surfing,M,Lacerations to left leg,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Calf bumped but no injury,N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Spearfishing,M,Lacerations to face and right leg,N,"Bull shark, 6'",Bull Shark,Diving,Amputations or Lacerations,Lower extremities
Provoked,Fishing,M,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,"reef shark, 1m",Unidentify,Fishing,Amputations or Lacerations,Undetermined
Boating,Fishing in Alabama Deep Fishing Rodeo,,"No injury, shark bit trolling motor",N,"Tiger shark, 10' ",Tiger Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Surfing,F,Minor injury to leg,N,empty,Unidentify,Board sports,Minor or No injuries,Lower extremities
Unprovoked,empty,F,Minor injury to toes,N,empty,Unidentify,Other,Minor or No injuries,Undetermined
Unprovoked,Kite surfing,M,"No injury, board damaged",N,"White shark, 10' to 12'",White Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Swimming,M,Puncture wounds to foot,N,empty,Unidentify,Swimming,Undetermined,Lower extremities
Unprovoked,Scuba Diving,M,Face bruised when partly blind shark collided with him,N,"Lemon shark, 9'",Lemon Shark,Diving,Undetermined,Undetermined
Unprovoked,Wading,F,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,Angel shark,Unidentify,Wading,Undetermined,Lower extremities
Boating,Fishing for squid,M,"No injury. Hull bitten, tooth fragment recovered",N,White shark,White Shark,Fishing,Minor or No injuries,Undetermined
Provoked,Fishing,M,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,dogfish shark,Unidentify,Fishing,Undetermined,Upper extremities
Boating,Fishing for sharks,M,"No injury. Hull bitten, tooth fragment recovered",N,White shark,White Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Swimming,F,"Buttocks, thigh, left hand & wrist injured",N,empty,Unidentify,Swimming,Undetermined,Lower extremities
Provoked,Fishing,M,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,Tawny nurse shark,Nurse Shark,Fishing,Undetermined,Lower extremities
Unprovoked,empty,M,Minor injury,N,3' to 4' shark,Unidentify,Other,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Foot injured,N,empty,Unidentify,Board sports,Undetermined,Lower extremities
Unprovoked,Scuba Diving,M,Severe bite to right hand,N,"Caribbean reef shark, 4.5'",Caribean Shark,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Spearfishing,M,Injuries to left leg & right hand,N,White shark,White Shark,Diving,Undetermined,Lower extremities
Unprovoked,Floating,M,Lacerations and punctures to foot,N,3' to 5' shark,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Wading,M,Injuries to right calf,N,empty,Unidentify,Wading,Undetermined,Undetermined
Unprovoked,Surfing,M,Single puncture wound to arm,N,3' to 4' shark,Unidentify,Board sports,Undetermined,Upper extremities
Provoked,Spearfishing,M,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,5' shark,Unidentify,Diving,Minor or No injuries,Undetermined
Unprovoked,Floating in tube,F,Injury to lower leg,N,3' to 4' shark,Unidentify,Other,Undetermined,Lower extremities
Unprovoked,Standing,M,Laceration to wrist,N,3' shark,Unidentify,Other,Amputations or Lacerations,Upper extremities
Invalid,Surfing,M,"No injury, board damaged",,Said to involve an 8' shark but more likely damage caused by debris,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Swimming,M,Leg bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Diving,F,FATAL,Y,3+ m shark,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Swimming,M,"Leg severely bitten, surgically amputated",N,Mako shark,Mako Shark,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Spearfishing,M,"No injury, but sharks repeatedly hit their fins and guns",,Bronze whaler sharks x 3,Cooper Shark,Diving,Minor or No injuries,Undetermined
Unprovoked,Kite surfing,M,Laceration to heel,N,3 m shark,Unidentify,Board sports,Amputations or Lacerations,Undetermined
Unprovoked,Surfing,M,FATAL,Y,White shark,White Shark,Board sports,Undetermined,Undetermined
Unprovoked,Swimming,F,Injuries to arm and shoulder,N,empty,Unidentify,Swimming,Undetermined,Upper extremities
Unprovoked,Swimming,M,Injury to posterior right leg,N,5' shark,Unidentify,Swimming,Undetermined,Lower extremities
Unprovoked,Swimming,F,Puncture wounds to thigh,N,empty,Unidentify,Swimming,Undetermined,Lower extremities
Unprovoked,Swimming,F,Lacerations and puncture wounds to foot and ankle,N,"Bull shark, 4' to 5'",Bull Shark,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,F,"Back, arm & hand injured",N,empty,Unidentify,Swimming,Undetermined,Upper extremities
Unprovoked,Swimming,M,Ankle bitten,N,"Blacktip shark, 4'",Blacktip Shark,Swimming,Amputations or Lacerations,Lower extremities
Provoked,Teasing a shark,F,Arm grabbed PROVOKED INCIDENT,N,"Nurse shark, 2'",Nurse Shark,Other,Undetermined,Upper extremities
Unprovoked,Floating,M,Minor lacerations to right shoulder,N,empty,Unidentify,Other,Amputations or Lacerations,Upper extremities
Provoked,Fishing,M,Foot bitten by landed shark PROVOKED INCIDENT,N,"Mako shark, 1.5 m [5'] ",Mako Shark,Fishing,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Elbow bitten,N,"Bull shark, 6'",Bull Shark,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Minor injury to left foot,N,empty,Unidentify,Board sports,Minor or No injuries,Lower extremities
Unprovoked,Surf-skiing,M,"No injury, surf-ski bitten",N,White shark,White Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Swimming,M,Minor puncture wound to foot,N,Wobbegong shark,Wobbegong Shark,Swimming,Undetermined,Lower extremities
Provoked,Spearfishing,M,Laceration to knee by speared shark PROVOKED INCIDENT,,"Grey reef shark, 2 m",Unidentify,Diving,Amputations or Lacerations,Lower extremities
Provoked,Spearfishing,M,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,"Grey reef shark, 2 m",Unidentify,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Spearfishing,M,Multiple bites to right arm,N,"Bull shark, 7'",Bull Shark,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Walking,F,FATAL,Y,"Tiger shark, 2.5 m",Tiger Shark,Wading,Undetermined,Undetermined
Invalid,empty,M,"""Serious""",,Shark involvement not confirmed,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Fishing,M,Left hand bitten,N,5' to 6' shark,Unidentify,Fishing,Amputations or Lacerations,Upper extremities
Invalid,SUP,M,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,,empty,Unidentify,Other,Minor or No injuries,Undetermined
Unprovoked,Snorkeling,F,Minor injury to left foot,N,empty,Unidentify,Other,Minor or No injuries,Lower extremities
Unprovoked,Surfing,M,Severe injury to thigh,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,empty,M,Minor injury to arm. Possibly caused by smalll nurse shark,,Shark involvement not confirmed,Unidentify,Other,Minor or No injuries,Upper extremities
Unprovoked,Surfing,M,"No injury, board dented",N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Provoked,empty,M,Minor injury to chest PROVOKED INCIDENT,N,"Nurse shark, 2.5-ft",Nurse Shark,Other,Minor or No injuries,Torso
Invalid,Surfing,,Board reportedly bumped by shark. No injury,,Shark involvement not confirmed,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Body surfing,M,Lacerations to right foot and ankle,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Diving for beche-de-mer,M,FATAL,Y,empty,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,empty,M,Superficial injury to foot,N,empty,Unidentify,Other,Undetermined,Lower extremities
Unprovoked,Fishing,M,Puncture wounds to right calf,N,Bronze whaler,Cooper Shark,Fishing,Undetermined,Undetermined
Unprovoked,Swimming,M,Minor injury to head,N,Sandtiger shark,Sand Shark,Swimming,Minor or No injuries,Undetermined
Unprovoked,Kite surfing,M,Puncture wounds to right thigh,N,empty,Unidentify,Board sports,Undetermined,Lower extremities
Unprovoked,Spearfishing,M,Forearm bitten,N,empty,Unidentify,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Wading,F,Avulsion injury to lower leg,N,empty,Unidentify,Wading,Undetermined,Lower extremities
Invalid,Feeding stingrays?,M,Minor injury to wrist from Southern stingray,,No shark involvement,Unidentify,Feeding Sharks,Minor or No injuries,Upper extremities
Invalid,Surfing,M,"No injury, knocked off board",,No shark involvement,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Walking,F,Foot nipped,N,empty,Unidentify,Wading,Undetermined,Lower extremities
Unprovoked,Windsurfing,M,"No injury, shark bit board",N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Swimming,M,Lacerations to scalp,N,Sandtiger shark,Sand Shark,Swimming,Amputations or Lacerations,Undetermined
Boating,Kayak fishing,M,"No injury, shark capsized kayak",N,empty,Unidentify,Fishing,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Lacerations to both hands,N,"Reef shark, 5'",Unidentify,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,F,No injury,N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Spearfishing,M,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,Bull sharks x 2,Bull Shark,Diving,Undetermined,Undetermined
Boating,Fishing,M,"No injury to occupants, shark leapt into boat",N,Mako shark,Mako Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Paddle boarding,M,No injury,N,"Tiger shark, 14'",Tiger Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Laceration to right foot,N,Wobbegong shark,Wobbegong Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Wading,M,Laceration to right calf,N,Blacktip shark,Blacktip Shark,Wading,Amputations or Lacerations,Undetermined
Unprovoked,Spearfishing,M,Lacerations to arms & leg,N,3 m shark,Unidentify,Diving,Amputations or Lacerations,Lower extremities
Boating,Kayak Fishing,M,"No injury, kayak damaged",N,"White shark, 3 m",White Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Swimming,F,Lacerations to left forearm,N,"Silky shark, 6.5'",Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,Paddle boarding,M,"No injury, shark bit board",N,9' shark,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,"No injury, shark leapt on surfboard",N,"Bronze whaler shark, 6'",Cooper Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Scuba diving,M,Right hand & part of forearm removed,N,"Tiger shark, 1.5 m ",Tiger Shark,Diving,Undetermined,Upper extremities
Unprovoked,Sea disaster,M,FATAL,Y,empty,Unidentify,Other,Undetermined,Undetermined
Boating,Fishing,,"No injury, shark rammed boat & bit motor",N,"White shark, 3.5 m",White Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Lobster fishing,M,"Bitten on thigh, abdomen & hand",N,Bull shark,Bull Shark,Fishing,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming / Wading,F,Lacerations to both hands and forearms,N,empty,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,Snorkeling,M,Lacerations to left calf,N,Galapagos shark,Unidentify,Other,Amputations or Lacerations,Undetermined
Unprovoked,Surfing,M,Right heel injured,N,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Swimming,F,Leg injured,N,empty,Unidentify,Swimming,Undetermined,Lower extremities
Unprovoked,Surfing,M,Lacerations to hand,N,"Spinner shark, 7'",Unidentify,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Injury to left thigh,N,"Bull shark, 2.8 to 3.1 m",Bull Shark,Board sports,Undetermined,Lower extremities
Invalid,Surfing,F,Lower left leg injured,,Shark involvement not confirmed,Unidentify,Board sports,Undetermined,Lower extremities
Unprovoked,Swimming,M,Laceration to right ankle,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Wading,F,Injury to right ankle/calf & hand,N,3' to 5' shark,Unidentify,Wading,Undetermined,Lower extremities
Unprovoked,Fishing,M,"Arms severely injured, surgically amputated",N,empty,Unidentify,Fishing,Amputations or Lacerations,Upper extremities
Unprovoked,Spearfishing,M,Minor injury,N,empty,Unidentify,Diving,Minor or No injuries,Undetermined
Unprovoked,Body boarding,M,"Lacerations & puncture wounds to right thigh, calf & ankle",N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,"Lacerations to right calf, knee & hip",N,"White shark, 3 to 3.5m ",White Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Lacerations to left hand,N,5' shark,Unidentify,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Left foot bitten,N,"Spinner shark, 5'",Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Fishing for shrimp,F,FATAL,Y,empty,Unidentify,Fishing,Undetermined,Undetermined
Invalid,Surfing,M,Left foot bitten by eel,,No shark involvement,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,Severe injuries to lower legs. Foot later surgically amputated.,N,"Tiger shark, 7'",Tiger Shark,Swimming,Amputations or Lacerations,Lower extremities
Boating,Kayak Fishing,M,"No injury, shark rammed kayak repeatedly",N,Hammerhead sp.,Hammer Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Boogie boarding,F,Laceration to forearm,N,empty,Unidentify,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,"Left leg severed below the knee, defense injuries to left hand",N,"Tiger shark, 13' ",Tiger Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Fishing,M,"Arm severely injured, surgically amputated",N,empty,Unidentify,Fishing,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Foot injured,N,empty,Unidentify,Board sports,Undetermined,Lower extremities
Unprovoked,Body boarding,M,2 lacerations to ankle,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
